Ejecucion,Tiempo_segundos
1,2.436907
2,2.427836
3,2.450843
4,2.445571
5,2.445739
6,2.447747
7,2.445565
8,2.446489
9,2.445543
10,2.445696
11,2.450684
12,2.446025
13,2.445976
14,2.445798
15,2.447878
16,2.445733
17,2.445953
18,2.445468
19,2.447532
20,2.446245
21,2.446627
22,2.446638
23,2.450212
24,2.446228
25,2.447090
26,2.445744
27,2.448324
28,2.447244
29,2.445914
30,2.445802
31,2.445802
32,2.447754
33,2.445789
34,2.445871
35,2.445857
36,2.449710
37,2.445852
38,2.446116
39,2.445846
40,2.448499
41,2.447050
42,2.445609
43,2.447797
44,2.452897
45,2.446428
46,2.448801
47,2.446169
48,2.447829
49,2.447727
50,2.446629
51,2.446001
52,2.446513
53,2.448012
54,2.445998
55,2.446376
56,2.446947
57,2.450941
58,2.446661
59,2.446773
60,2.446785
61,2.450076
62,2.447799
63,2.444882
64,2.445876
65,2.448675
66,2.442971
67,2.448676
68,2.446824
69,2.449530
70,2.446838
71,2.446009
72,2.445747
73,2.448662
74,2.445809
75,2.445937
76,2.445853
77,2.445944
78,2.450606
79,2.445807
80,2.445825
81,2.445751
82,2.449601
83,2.446284
84,2.445774
85,2.445678
86,2.449797
87,2.447545
88,2.446279
89,2.445768
90,2.450421
91,2.445939
92,2.445710
93,2.447127
94,2.448841
95,2.445866
96,2.445767
97,2.445657
98,2.445654
99,2.447796
100,2.445948
